File selected,Parent folder,Probability for Lucila,Probability for Mosca Domestica,Probability for Piofila
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/lucila 1 (98)lucila_159.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_10lucila_224.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_15lucila_229.png,Lucila,0.9997,0.0003,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_16lucila_230.png,Lucila,0.9999,0.0001,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_17lucila_231.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_18lucila_232.png,Lucila,0.9999,0.0001,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_20lucila_234.png,Lucila,0.7413,0.2586,0.0001
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_29lucila_243.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_34lucila_248.png,Lucila,0.9961,0.0039,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_4lucila_218.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_43lucila_257.png,Lucila,0.9998,0.0002,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_48lucila_262.png,Lucila,1.0000,0.0000,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_58lucila_272.png,Lucila,0.9979,0.0021,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_7lucila_221.png,Lucila,0.9998,0.0002,0.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Lucila/slice_8lucila_222.png,Lucila,1.0000,0.0000,0.0000
